Not in Core,Source,List,Name,Flavor,Category,Frequency,Tier,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defense,Hit,Miss,Effect,Special,Boost,Key Ability,Secondary Ability,Tradition,Sources,Details,Maintain Action,Maintain Text
,Discipline,Mastermind’s Gambit,Perfect Timing,"You‘ve planned ahead for this moment. You knew where your enemy would be, where they would strike, and when their weaknesses would be revealed. You give your allies the word and they act according to the plan.",Attack,Encounter,27,Martial,Standard,Near,"eyesight, all allies",,,,,,,"Once before the start of your next turn, the target can make a basic attack as a counter.",,,,,,,,,
,Discipline,Mastermind’s Gambit,Shining Example,Your allies are moved by your bravado.,Attack,Daily,29,Martial,Move,Near,"burst 10, all enemies",,,,,,,"You mark the target. Until the end of your next turn, you take no damage from the target’s attacks provided it remains marked by you; instead, grant temporary hit points to one ally in range equal to the damage dealt. An ally cannot receive more temporary hit points than their recovery value. Any target that is out of range by the end of your turn is no longer marked.",,,,,,,,Move,The effect persists until the start of your next turn. You cannot sustain if you are staggered.
,Discipline,Mastermind’s Gambit,Shock And Awe,You display overwhelming battle awareness.,Attack,Daily,29,"Focus, Martial",Swift,Near,"burst 10, all enemies",,,Intelligence +2,Reflex,The target is stunned until the start of your next turn.,,You and each ally in burst can shift a number of squares equal to 1+ your Intelligence modifier.,,,,,,,,Swift,Repeat the attack.
,Discipline,Mastermind’s Gambit,Chapter,,,,,,,,,,,,,,,,,,Intelligence,Charisma,Martial,Harlequin (class),,,
,Discipline,Perchance to Dream,Chapter,,,,0,,,,,,,,,,,,,,Intelligence,Charisma,,,,,
,Discipline,Perchance to Dream,Breeze,,Attack,At-Will,1,"Focus, Phrenic",Standard,Near or Residue,"blast 2, all creatures",,,Intelligence,Will,1d8 + Wisdom modifier damage. *Level 21:* 2d8 + Wisdom modifier damage. ,,Push the target 2. ,"*Augment 1:* Also knock the target prone.  
*Augment 2:* Blast 3.",,,,,,,,
,Discipline,Perchance to Dream,Ectoplasmic Discharge,,Attack,At-Will,1,"Focus, Phrenic",Standard,Near,"burst 1, all creatures",,,Intelligence,Will,The target is slowed until the end of your next turn. *Level 21:* The target also takes 1d8 + Intelligence modifier damage.,,,*Augment 1:* The target also takes 1d10 + Intelligence modifier damage.,,,,,,,,
,Discipline,Perchance to Dream,Hidden Blow,,Attack,At-Will,1,"Focus, Illusion, Phrenic",Standard,Ranged,"10, one creature",,,Intelligence,Will,1d8 + Intelligence modifier damage and you gain concealment against the target until the end of your next turn. *Level 21:* 2d8 + Intelligence modifier damage and you gain concealment against the target until the end of your next turn.,,,"*Augment 2:* 2d8 + Intelligence modifier damage and you gain invisibility against the target until the end of your next turn.  
*Augment 4:* 3d8 + Intelligence modifier damage and you gain invisibility against the target until the end of your next turn. Maintain swift.",,,,,,,,
,Discipline,Perchance to Dream,Night Terrors,,Attack,At-Will,1,"Fear, Focus, Illusion, Phrenic, Psychic",Standard,Ranged,"10, one creature",,,Intelligence,Will,The target is slowed (save ends).,,,"*Augment 1:* The target is dazed instead (save ends).  
*Augment 2:* The target is dazed (save ends) and makes a basic melee attack against the target of your choice.  
*Augment 4:* Shift the target up to your Intelligence modifier. The target is dazed (save ends) and makes a basic melee attack against the target of your choice. ",,,,,,,,
,Discipline,Perchance to Dream,Hagrider,,Attack,Daily,1,"Charm, Focus, Phrenic, Psychic",Standard,Near,"burst 5, one unconscious enemy",,,Intelligence,Will,"The target is controlled (save ends). It remains unconscious for the duration of this power, but if it were to become conscious during the duration then it becomes conscious immediately after the duration ends. ",,,,,,,,,,,
,Discipline,Perchance to Dream,Sleepyheads,,Attack,Daily,1,"Focus, Phrenic, Psychic",Standard,Far,"burst 2 within range 20, all creatures",,,Intelligence,Will,The target is slowed (save ends). *Aftereffect:* The target is unconscious (save ends).,The target is slowed (save ends). ,,,,,,,,,,
,Discipline,Perchance to Dream,Incept Idea,,Utility,Daily,2,"Focus, Phrenic, Psychic",Swift,Melee,"touch, one unconscious creature",,,Intelligence,Will,You put a thought in the target's head.,,,,,,,,,,,
,Discipline,Perchance to Dream,Shift Resistance,,Attack,Daily,5,"Phrenic, Psychic",Standard,Ranged,"10, one enemy",,,Intelligence,Will,2d10 + Intelligence modifier psychic damage. ,,"Select one of the target's resistances, immunities or vulnerabilities. Change it to a different damage type until the end of the encounter. ",,,,,,,,,
,Discipline,Perchance to Dream,Intangible Wings,,Utility,Daily,6,"Phrenic, Transmutation",Swift,Self,,,,,,,,"You gain flight 6. At the beginning of each of your turns, make a saving throw. If you fail, this power comes to an end. ",,,,,,,,,
,Discipline,Perchance to Dream,Dream Dive,,Attack,Daily,9,"Focus, Phrenic, Psychic, Teleportation",Standard,Melee,"touch, one creature",,,Intelligence,Will,"2d10 + Intelligence modifier damage. You share a space with the target until the end of your next turn, and during that time cannot be the target of attacks or other powers. At the end of their turn, the target can attempt a saving throw to end this effect early. At the end of the duration, you appear in an unoccupied space adjacent to the target. ",,"If used on an ally, you do no damage and do not need to make the attack roll. ",,,,,,,,,
,Discipline,Perchance to Dream,Bad Dream,,Utility,Daily,10,"Healing, Phrenic",Standard,Self,,,,,,,,"You become helpless until the beginning of your next turn. At the beginning of your next turn, you can spend up to three recoveries, healing your recovery value each turn. All conditions and persistent damage with save-ends durations end. ",,,,,,,,,
,Discipline,Perchance to Dream,Lucidity,,Utility,Daily,10,Phrenic,Swift,Self,,,,,,,,You gain truesight 10 until your next short rest.,,,,,,,,,
,Discipline,Perchance to Dream,Nightmare Colossus,,Attack,Daily,15,"Conjuration, Phrenic",Standard,Ranged,"10, one enemy",,,,,Conjure a terrifying illusion. 2d10 + Intelligence modifier psychic damage and push the target 3. ,,Make the attack against one creature per turn. ,,,,,,,,Swift,Repeat the attack. 
,Discipline,Perchance to Dream,Chrysalis,,Utility,Daily,16,"Phrenic, Transmutation",Swift,Self,,,,,,,,You gain temporary HP equal to your level plus your Wisdom modifier. ,,,,,,,,,
,Discipline,Perchance to Dream,Push Explosion,,Utility,Daily,16,Phrenic,Immediate (counter),Ranged,"10, one attack",,A Far attack is made.,,,,,Move the Far attack's origin point up to your Wisdom modifier squares. Then the attack takes place.,,,,,,,,,
,Discipline,Perchance to Dream,Mass Synesthesia,,Attack,Daily,19,"Focus, Illusion, Phrenic, Psychic",Standard,Far,"burst 1 within range 10, all creatures",,,,,3d8 + Intelligence modifier damage and the target is dazed and the only attacks they can make are basic attacks (save ends both). ,,,,,,,,,,,
,Discipline,Perchance to Dream,Boundless Possibilities,,Utility,Daily,22,"Phrenic, Stance",Swift,Self,,,,,,,,"Each time you roll a d20, roll twice and choose the option you prefer. If any creature rolls a natural 20 for any roll, this power changes. Now you roll twice and choose the lower result. This power swaps back if any creature rolls a natural 20 again. ",,,,,,,,,
,Discipline,Perchance to Dream,Head Trip,,Attack,Daily,25,"Focus, Illusion, Phrenic, Psychic",Standard,Near,"burst 5, one creature",,,Intelligence,Will,"4d10 + Intelligence modifier psychic damage and you become incorporeal and invisible. Make a save at the end of each of your turns, on a failure you stop being incorporeal and invisible. If the target falls unconscious, you stop being incorporeal and invisible immediately.",,,,,,,,,,,
,Discipline,Perchance to Dream,Sleep's Fatal Embrace,,Attack,Daily,29,"Phrenic, Psychic, Teleportation",Standard,Far,"blast 2 within range 10, all enemies",,,,,You consign the targets to the Plane of Dreams. They disappear and take 20 ongoing psychic damage (save ends both). ,,,,,,,,,,,
,Discipline,Puppeteer’s String,Chapter,,,,0,,,,,,,,,,,,,,Wisdom,Charisma,Arcane,"Magician (class), Worships the God of Tyranny (kit)","You can enchant, influence and dominate the weaker willed.
<figure><img src=""pics\LuigiCastellani_CONVERSIONSLOT.png"" alt=""Conversion by Luigi Castellani"" style=""zoom: 100%;"" /><figcaption>Conversion by Luigi Castellani</figcaption></figure>",,
,Discipline,Puppeteer’s String,Befuddle,Your mental influence clouds your opponent’s concentration.,Attack,At-Will,1,"Arcane, Focus, Psychic",Move,Near,"burst 3, one creature",,,Wisdom,Will,The target is dazed until the start of your next turn.,,,,,,,,,,,
,Discipline,Puppeteer’s String,Neural Spear,You scour the target’s mind.,Attack,At-Will,1,"Arcane, Focus, Psychic",Standard,Near,"burst 5, one living creature",,,Wisdom,Will,"1d8 + Wisdom modifier psychic damage.  
*Level 21:* 2d8 + Wisdom modifier damage.",,,,,,,,,,,
,Discipline,Puppeteer’s String,Instant Friends,Don’t you remember me? We’re old pals.,Attack,Encounter,1,"Arcane, Charm, Focus, Psychic",Standard,Near,"burst 5, one creature",,,Wisdom,Will,"The target treats you as a friend and cannot attack you until the end of your next turn. You can use your Bluff skill to convince the target to do something for you, as per normal rules for Bluff. The effect ends immediately if you make an attack that damages the target. ",,,,,,,,,,Swift,Repeat the attack against the same target. On a hit the duration is extended until the end of your next turn.
,Discipline,Puppeteer’s String,Recall Probe,"You sift through the target’s memories, searching for the needed one.",Attack,Daily,1,"Arcane, Focus, Psychic",Standard,Melee,"touch, one creature",,,Wisdom,Will,"2d4 + your Wisdom modifier psychic damage and the target is dazed until the end of your next turn. You search the target’s mind for a specific memory. Make an Arcana check: DC 20 for a memory 24 hours old or less, DC 25 for a week old and DC 30 for up to a month old (GM’s discretion for older memories).","The power is not expended, but you cannot use it on the same target until after your next long rest.",,,,,,,,,Standard,Repeat the attack against an eligible target.
,Discipline,Puppeteer’s String,Dreamtrancer,You move through the netherscape of untapped subconscious to communicate with someone else.,Utility,At-Will,2,"Arcane, Psychic",Standard and Move,Unlimited,one unconscious creature you have met,,,,,,,"You enter the target’s dream until the start of your next turn. You can communicate with the target, convince it you are real or not. Once on your turn, make a Wisdom vs Will attack if you wish to take control of the dream: otherwise, you can only control your dream body and anything you can directly affect with it. If you take control of the dream, the target can attempt a Wisdom or Charisma vs Will attack at the start of its next turn to regain control. If you inflict harm on the target or the target inflicts harm on itself, it wakes up: however, if you are in control of the dream, the target can only harm itself if you wish it. While you are in the dream, you can take no actions outside of it. If you suffer damage in reality, the effect ends.",,,,,,,,Free,The effect persists until the start of your next turn. You cannot maintain if the target wakes up. 
,Discipline,Puppeteer’s String,Imprint,"You wave your hand and suddenly a piece of paper looks like a letter from the king, a copper coin looks like a gold coin, or a rock looks like a diamond. Surely there are other applications, but you can’t think of any.",Utility,At-Will,2,"Arcane, Illusion",Standard,Melee,"touch, one tiny object",,,,,,,"You make one object look like something else of the same approximate size and shape. The illusion only affects the object’s visual qualities. Observers can make a Perception check opposed by your Bluff check to identify the illusion. The effect lasts until you dismiss it as a free action, or until you stop touching the object.
",,,,,,,,,
,Discipline,Puppeteer’s String,Long Range Communication,You concentrate and transmit a simple message over a vast distance.,Utility,At-Will,2,"Arcane, Psychic",Standard,Near,"burst 1 mile, one creature you can envision",,,,,,,You transmit a message of 25 words or less that only the target will hear.,,,,,,,,,
,Discipline,Puppeteer’s String,Indirect Camouflage,The best disguise is the one established in the mind.,Utility,Daily,2,"Arcane, Consistent, Focus, Illusion, Psychic",Move,Self,,,,,,"You disguise your appearance until the end of your next turn, making you look like someone else. The details of your appearance are up to you. You gain a +5 bonus to Bluff checks related to the disguise. ",,,,,,,,,,Move,The effect persists until the end of your next turn. You cannot maintain for longer than five minutes. 
,Discipline,Puppeteer’s String,All a Jumble,The target mixes up their target and ends attacking their best friend. That won’t go over well.,Attack,Encounter,3,"Arcane, Consistent, Focus, Psychic",Counter,Near,"burst 10, the triggering creature",,"A creature makes a ranged attack against you or an adjacent ally. 
",Wisdom,Will,The target attacks a different creature of your choice within its attack’s range.,,,,,,,,,,,
,Discipline,Puppeteer’s String,Cut the Strings,The target’s eyes roll back and they take a nice long nap.,Attack,Encounter,3,"Arcane, Consistent, Focus, Psychic",Standard,Near,"burst 5, one creature",,,Wisdom,Will,"The target falls unconscious until the end of your next turn. If it suffers any damage, it immediately wakes up.",,,,,,,,,,Swift,"Repeat the attack against the same target. You can continue to maintain even after the encounter ends. While you are not in an encounter, each time you maintain this power, the target  is unconscious for one hour or until it suffers damage. "
,Discipline,Puppeteer’s String,Reverberation,You create a sound everyone thinks they hear.,Attack,Encounter,3,"Arcane, Consistent, Focus, Psychic",Move,Far,"burst 5 within range 20, all enemies",,,Wisdom,Will,The target is distracted and grants combat advantage to all creatures until the end of your next turn.,,,,,,,,,,,
,Discipline,Puppeteer’s String,Direct Manipulation,You push the target’s brain aside and take direct control of the target.,Attack,Daily,5,"Arcane, Charm, Consistent, Focus, Psychic",Standard,Near,"burst 5, one creature",,,Wisdom,Will,The target is controlled until the end of your next turn. ,,,,,,,,,,Standard,"Repeat the attack against the same target. You can continue to maintain even after the encounter ends. While you are not in an encounter, each time you maintain this power, the target is controlled for one hour. "
,Discipline,Puppeteer’s String,Making Matters Worse,You’re already wiggling around their mind. Might as well cut a few nerves.,Attack,Daily,5,"Arcane, Focus, Psychic",Free,Unlimited,"range, one creature that has just taken damage from a Psychic power you used",,,,,,,"The target takes an additional 2d8 + Wisdom modifier damage and is weakened until the end of your next turn.
> *Level 15:* 3d8 + Wisdom modifier damage.
> *Level 25:* 4d8 + Wisdom modifier damage.",,,,,,,,,
,Discipline,Puppeteer’s String,Deep Scan,You attempt to scan the thoughts of someone you cannot see.,Utility,Daily,6,"Arcane, Consistent, Focus, Psychic",Standard and Move,Near,"burst 1 mile, one creature you can envision",,,Wisdom,Will,"You are able to scan the surface thoughts of the target, revealing its current location and what it is doing.",,,No attack necessary against a willing target.,,,,,,,,
,Discipline,Puppeteer’s String,Instill Confidence,You make someone feel just awesome.,Utility,Daily,6,"Arcane, Psychic",Swift,Near,"burst 5, one ally",,,,,,,The target gains a +5 bonus to all skill checks for five minutes.,,,,,,,,,
,Discipline,Puppeteer’s String,Psychic Refresh,"You are not like other people, limited in their uses of things.",Utility,Daily,6,"Arcane, Psychic",Move,Self,,,,,,,,Recover the use of one of your encounter powers.,,,,,,,,,
,Discipline,Puppeteer’s String,Visual Deletion,"Although you can still make a noise, your opponents have no other ways to locate you.",Attack,Encounter,7,"Arcane, Focus, Illusion, Psychic",Standard,Near,"burst 5, all enemies",,,Wisdom,Will,You are invisible to the target until the end of your next turn.,,,,,,,,,,Move,Repeat the attack against any targets you hit last turn.
,Discipline,Puppeteer’s String,Act Casual,No one suspects a thing.,Attack,Daily,9,"Arcane, Charm, Focus, Psychic",Standard,Near,"burst 5, one creature",,,Wisdom,Will,"The target is controlled (save ends), but not dazed (enabling you to use more than one of its actions) and the target doesn’t grant combat advantage unless you wish them to.",,,,,,,,,,,
,Discipline,Puppeteer’s String,Neural Slice,You send out a cascade of psychic energy to affect all those around.,Attack,Daily,9,"Arcane, Focus, Psychic",Standard,Far,"burst 3 within range 10, all enemies",,,Wisdom,Will,"The target is dazed, immobile, and weakened (save ends all).","The target is dazed, immobile, and weakened until the start of your next turn.",,,,,,,,,,
,Discipline,Puppeteer’s String,Telepathic Blocker,You go on the defense to ensure you don’t suffer from any effects you yourself are known for.,Utility,Daily,10,"Arcane, Psychic",Free,Self,,,,,,,,You gain a +4 bonus to Will defense for 5 minutes.,,,,,,,,,
,Discipline,Puppeteer’s String,Blackout,You cut off every sense in your opponent. You suppose they could still smell you.,Attack,Daily,15,"Arcane, Focus, Psychic",Standard,Near,"burst 5, all enemies",,,Wisdom,Will,The target is blinded and deafened (save ends).,The target is blinded and deafened until the start of your next turn.,,,,,,,,,,
,Discipline,Puppeteer’s String,Transplant Senses,You can either look through someone else’s eyes or force their vision through your own.,Attack,Encounter,17,"Arcane, Consistent, Focus, Psychic",Standard,Ranged,"20, one creature",,,Wisdom,Will,"Until the start of your next turn, you either look through the targets eyes or you force the target to see what you see. While looking through the target’s eyes, you may choose whether or not the target is aware of your use of this power. While looking through the target’s eyes, you grant combat advantage to all creatures: while looking through yours, the target grants combat advantage to all creatures and may not be able to see certain targets in order to attack them. If the target takes damage, the effect ends.",,,,,,,,,,Standard,"Repeat the attack against the same target. You can continue to maintain even after the encounter ends. While you are not in an encounter, each time you maintain this power, the effect remains for one hour or until you end it as a swift action."
,Discipline,Puppeteer’s String,Field Control,This feels more like a tabletop wargame and these are your troops.,Attack,Daily,19,"Arcane, Charm, Focus, Psychic",Standard,Near,"burst 5, all enemies",,,Wisdom,Will,The target is controlled until the end of your next turn. ,,,,,,,,,,Standard,Repeat the attack against any targets you hit last turn. 
,Discipline,Puppeteer’s String,Phrenic Cascade,You simply cause havoc in the target’s brain.,Attack,Encounter,23,"Arcane, Consistent, Focus, Psychic",Standard,Near,"burst 10, one creature",,,Wisdom,Will,"5d10 + Wisdom modifier damage, and the target is stunned until the end of your next turn.
*Level 27:* 7d10 + Wisdom modifier damage",,,,,,,,,,,
,Discipline,Puppeteer’s String,Godly String,"No matter where they go, no matter where they hide, you can get at them.",Attack,Daily,25,"Arcane, Focus, Psychic",Standard and Move,Near,"burst 1 mile, one creature you can envision",,,Wisdom,Will,The target is controlled (save ends).,,,,,,,,,,,
,Discipline,Puppeteer’s String,Pure Puppeteer,You convince the target that what you wish is all that matters. You are nothing less than a god and they will do anything and everything in your name.,Attack,Daily,25,"Arcane, Consistent, Focus, Psychic",Standard,Near,"burst 5, one creature",,,Wisdom,Will,"The target is under your control until the end of your next turn. This is identical to being controlled, except you can activate rechargeable, encounter, and daily powers. You can command the target to attack allies or itself (if possible).
",,,,,,,,,,Move,"Repeat the attack against the same target. You can continue to maintain even after the encounter ends. While you are not in an encounter, each time you maintain this power, the effect remains for one hour."
,Discipline,Puppeteer’s String,Personality Manipulation,"Until now, everything you have done has been temporary. People would wake up and feel the fool. Now, there is nothing holding you back … this is that moment where you need to decide which side you’re really on.",Attack,Daily,29,"Arcane, Charm, Consistent, Focus, Psychic",Standard,Near,"burst 5, one creature",,,Wisdom,Will,You rewrite the target’s personality so that it is convinced you and your allies are its allies until the end of your next turn. You have no direct control over the target but are able to give it instructions which it will try to follow to the best of its abilities.,,,,,,,,,,Move,"Repeat the attack against the same target. You can continue to maintain even after the encounter ends. While you are not in an encounter, each time you maintain this power, the effect remains for one day."
,Discipline,Radiant Dawn,Chapter,,,,0,,,,,,,,,,,,,,Wisdom,Charisma,Divine,Worships the God of Life (kit),You use the divine power of the sun to blast and dazzle your enemies and heal your allies.,,
,Discipline,Radiant Dawn,Dismiss,This attack ‘softly’ removes an enemy from your presence.,Attack,At-Will,1,"Divine, Radiant, Weapon",Standard,Melee,"weapon, one creature",,,Wisdom,AC,"1dW + Wisdom modifier radiant damage and the target is pushed 2 squares. 
*Level 21:* 2dW + Wisdom modifier radiant damage and the target is pushed 2 squares. ",,,"If the target is undead, they are pushed 4 squares on a hit instead. ",,,,,,,,
,Discipline,Radiant Dawn,Expose Weakness,"You strike with a weak, but swift, attack that hampers an opponent. ",Attack,At-Will,1,"Divine, Focus",Standard,Ranged,"10, one creature",,,Wisdom,Will,The creature is weakened and slowed (save ends both). ,,,,,,,,,,,
,Discipline,Radiant Dawn,Staunching Strike,To help your allies and harm your enemies is the most basic tenet of the Radiant Dawn discipline. ,Attack,Encounter,1,"Divine, Healing, Radiant, Weapon",Standard,Melee,"weapon, one creature",,,Wisdom,AC,2dW + Wisdom modifier radiant damage. You or an ally within sight can spend a recovery to heal their recovery value. ,,,,,,,,,,,
,Discipline,Radiant Dawn,Spoils of War,Might makes right. ,Attack,Daily,1,"Divine, Focus, Radiant",Standard,Near,"burst 3, all enemies",,,Wisdom,Fortitude,2d8 + Wisdom modifier damage. ,,"Until the end of the encounter, each time an ally within 3 hits with an attack, they heal damage equal to your Wisdom modifier. ",,,,,,,,,
,Discipline,Radiant Dawn,Decree of Mercy,A simple look and gesture can weaken one’s resolve to kill.,Utility,Encounter,2,"Divine, Focus",Counter,Near,"burst 5, all enemies",,,Wisdom,Will,Attacks the target makes until the end of your next turn are nonlethal. ,,,,,,,,,,,
,Discipline,Radiant Dawn,Bolster,"You fortify an ally with akasha, hardening their skin like the scales of a dragon. ",Utility,Daily,2,Divine,Counter,Near,"burst 5, one ally",,,,,,,The ally gains resistance to all 5 until the end of your next turn. *Level 11:* 10. *Level 21:* 15.,,,,,,,,,
,Discipline,Radiant Dawn,The Caged Sun,,Utility,Daily,2,"Divine, Healing, Stance",Swift,Self,,,,,,,,"You cannot heal creatures other than yourself, or enable other creatures to spend recoveries. However, all healing you receive is doubled. If you receive healing but are already at maximum HP, you gain that amount as temporary HP instead. ","If you are staggered, you can enter this stance as a reaction. ",,,,,,,,
,Discipline,Radiant Dawn,Curate’s Strike,This strike was created by a kobold leader to fight both controlling magics and vicious wounds.,Attack,Encounter,3,"Divine, Focus, Healing, Radiant",Standard,Ranged,"5, one creature",,,Wisdom,AC,2d8 + Wisdom modifier radiant damage. You or an ally within sight can spend a recovery to heal their recovery value. They also gain a +2 bonus on saving throws until the end of your next turn. ,,,,,,,,,,,
,Discipline,Radiant Dawn,Decree of Purity,A single word and a wave of the hand purifies those who would stand with you.,Utility,Encounter,6,"Divine, Healing",Swift,Ranged,"5, one ally",,,,,,,The target makes a saving throw against persistent damage or a condition with a save ends duration. ,,,,,,,,,
,Discipline,Radiant Dawn,Healer’s Bane,You hijack healing for your own purpose. ,Utility,Encounter,6,"Divine, Healing",Counter,Near,"burst 10, one creature",,The creature is about to heal. ,,,,,"The creature does not heal, but does lose a recovery. Pick an ally within range. They heal equal to their recovery value. ",,,,,,,,,
,Discipline,Radiant Dawn,Witness to Glory,"With a surge of akasha, you spur an ally into battle.",Utility,Daily,6,Divine,Counter,Near,"burst 10, one ally",,Initiative is rolled. ,,,,,The ally receives a +4 power bonus to initiative. They add your Wisdom modifier to their speed until the end of your next turn. ,,,,,,,,,
,Discipline,Radiant Dawn,Armaments of the Empire,A thin layer of akasha flows forth from you and covers your and your allies’ weapons.,Attack,Encounter,7,"Divine, Radiant, Weapon",Standard,Melee,"weapon, one creature",,,Wisdom,AC,2dW + Wisdom modifier damage. ,,"Until the end of your next turn, all allies within 5 squares gain a +2 power bonus on attack rolls. ",,,,,,,,,
,Discipline,Radiant Dawn,Decree of Death,You single out targets for execution. ,Attack,Encounter,7,"Divine, Focus, Radiant",Standard,Far,"burst 1 within range 5, all enemies",,,Wisdom,Will,1d8 + Wisdom modifier radiant damage and the target grants combat advantage until the end of your next turn. ,,,,,,,,,,,
,Discipline,Radiant Dawn,Disrupt Essence,"A powerful blow that disrupts one’s essence, inhibiting the use of abilities. ",Attack,Daily,9,"Divine, Radiant, Weapon",Standard,Melee,"weapon, one creature",,,Wisdom,AC,"2dW + Wisdom modifier damage and the target cannot use encounter, daily or refresh powers until the end of your next turn. ",,,,,,,,,,,
,Discipline,Radiant Dawn,Lifeburst Strike,You strike out with a simple blow with an uncanny power to heal and harm.,Attack,Daily,9,"Divine, Focus, Healing, Radiant",Standard,Near,"burst 1, all enemies",,,Wisdom,Fortitude,"2d8 + Wisdom modifier radiant damage. Until the end of your next turn, if an ally of yours hits the target, the ally heals 10 damage. ","Half damage, and no healing effect.",,,,,,,,,Swift,The healing effect persists until the end of your next turn.
,Discipline,Radiant Dawn,Decree of Silence,Your presence demands silence. ,Utility,Daily,10,Divine,Counter,Near,"burst 1, self and all allies",,You are the target of a near or far attack. ,,,,,Creatures in the area of this power cannot be targeted by the attack. ,,,,,,,,,
,Discipline,Radiant Dawn,Lifeburst Imbuement,This maneuver imbues another to carry out your will. ,Attack,Encounter,13,"Divine, Radiant",Standard,Near,"burst 5, one ally",,,,,,,"The next attack the ally makes has combat advantage, and does 3d8 additional radiant damage on a hit. ",,,,,,,,,
,Discipline,Radiant Dawn,Sunstroke,Your akasha shapes an attack into a powerful solar flare. ,Attack,Daily,15,"Divine, Fire, Focus, Radiant",Standard,Far,"burst 2 within range 10, all enemies",,,Wisdom,Reflex,2d10 + Wisdom modifier radiant and fire damage and persistent fire damage 10 (save ends). ,"Half damage, and no persistent damage.",One ally in the burst can spend a recovery to heal their recovery value. ,,,,,,,,,
,Discipline,Radiant Dawn,Shatter Spell,You bring a spell or other magical effect to an unceremonious end.,Utility,Daily,16,"Divine, Focus",Standard,Ranged,"10, one persisting power",,,Wisdom,Will (power’s user),,,The power comes to an end. ,,,,,,,,,
,Discipline,Radiant Dawn,Sunlight Shields,"Your stance sits halfway between martial form and magic prowess, conjuring shields of light to defend yourself and others.",Utility,Daily,16,"Conjuration, Divine, Radiant",Swift,Far,wall 1 within range 10,,,,,,,Allies in or adjacent to the wall get a +2 power bonus to AC. An enemy that moves into the wall stops moving immediately and cannot move for the rest of the turn. Walls created last until the end of your next turn.,,,,,,,,Swift,"Conjure a new wall within range, which lasts until the end of your next turn. This does not prolong the duration of any existing walls you conjured with this power. You cannot conjure the new wall in the same location as an existing wall."
,Discipline,Radiant Dawn,Divide and Conquer,"This strike pulls essence from the target, creating an effigy of the creature. ",Attack,Encounter,17,"Divine, Fire, Focus",Standard,Ranged,"10, one creature",,,Wisdom,Fortitude,"3d8 + Wisdom modifier fire damage, and conjure an effigy of the target in an unoccupied square in range. Any attack that targets the effigy targets the target as well, even if the target would normally be out of range of the attack. The target only gets targeted once by any given attack, even if both the target and their effigy are in the area of effect. ",,,,,,,,,,,
,Discipline,Radiant Dawn,Battle Against the Sun,To challenge you is to challenge the sun itself: An exercise in futility. ,Attack,Daily,19,"Conjuration, Divine, Fire, Focus",Standard,Ranged,"10, an unoccupied square",,,,,,,"You conjure a miniature sun, which occupies one square. The sun casts bright light in a 2-square radius. The sun remains until the end of your next turn.  It makes a ranged attack in each of your turns where it exists, including this turn.. On your turns, you may spend a move action to move the sun up to 4 squares.  
*Attack:* Ranged 5, one enemy; your Wisdom vs Reflex; 2d10 + Wisdom modifier radiant damage. ",,,,,,,,Swift,The sun remains until the end of your next turn.
,Discipline,Radiant Dawn,Noblesse Oblige,"When all else fails, your allies turn to you to save them. ",Attack,Daily,19,"Divine, Healing, Radiant, Weapon",Counter,Near,"burst 10, the triggering enemy",,An enemy reduces your ally to 0 HP or below with an attack. ,,,3dW + Wisdom modifier radiant damage.,,"The triggering ally can spend a recovery and heal 1 damage, plus they heal equal to the damage done by your attack (if any). ","Before the attack, you can shift up to your Strength modifier squares. ",,,,,,,,
,Discipline,Radiant Dawn,Decree of Freedom,"With a gesture and a single word, you cause a target’s essence to flare, freeing them from their bonds.",Utility,Encounter,22,"Divine, Healing",Swift,Near,"burst 10, one ally",,,,,,,"The target ignores all conditions and persistent damage it is affected by until the end of your next turn. It can also ignore any zones or difficult or hazardous terrain during the same period. The target does not make saving throws during this effect, but the time elapsed does count towards the duration of effects. ",,,,,,,,,
,Discipline,Radiant Dawn,Awaken the Sleeper,"It’s said that the soul of a mortal contains power that can rival the gods, and this maneuver awakens a fraction of that power for a brief moment.",Attack,Encounter,23,Divine,Standard,Near,"burst 10, one ally",,,,,,,"Select one of your unexpended encounter or daily powers that takes a standard, move, swift or free action. Your ally can use that power. They also gain temporary HP equal to your recovery value.",,,,,,,,,
,Discipline,Radiant Dawn,King’s Castle,Your faithful respond to your call for help. ,Attack,Encounter,23,"Divine, Focus, Radiant",Counter,Near,"burst 10, the triggering enemy",,An enemy within range hits your ally with an attack. ,Wisdom,Will,4d10 + Wisdom radiant damage.,,"You or a willing ally within range teleports to the triggering ally’s space, and the triggering ally teleports to the space you/the other ally just left. The one teleported to the space takes the hit instead of the triggering ally. ",,,,,,,,,
,Discipline,Radiant Dawn,Swords into Ploughshares,This blow marks an enemy with a simple brand that burrows into their essence. Their strikes heal and harm in equal measure.,Attack,Encounter,23,"Divine, Radiant, Weapon",Standard,Melee,"weapon, one creature",,,Wisdom,AC,3dW + Wisdom modifier radiant damage.,,"Until the end of your next turn, any ally of yours targeted by the target’s attack can spend a recovery to heal up to their recovery value. ",,,,,,,,Swift,The effect persists until the end of your next turn. 
